Index,PID,Title,Type,Abstract,Created Date,Genre,Author,DOI,Date,Date Available,Subtype,Place of Publication,Publisher,Keywords,Subject
11,UQ:731753,Urban living preferences of youth international migrants: an investigation of Asian students in Australia,Journal Article,"This study investigates changing housing and lifestyle preferences that occur when young people migrate from compact, high-density to low-density, car-oriented environments, through in-depth interviews of East and Southeast Asian university students in Brisbane, Australia. The findings reveal that the majority of international students adapt to their new living environment, and even come to prefer a low-density lifestyle and associated positive features (such as higher affordability, privacy, open space, and peacefulness). While this is positive in terms of their personal adjustment and outcomes, it raises concerns in terms of urban sustainability. It may indicate that given the opportunity most people find a suburban, car-oriented lifestyle desirable, and planning systems need to reconcile majority preferences with sustainability concerns. However, the study also reveals that a portion of the international students continue to prefer a high-density urban form. People in this group dislike the long commutes, spread out services, high transport costs, automobile dependence, quietness, and social isolation associated with a suburban lifestyle, and continue to seek urban forms that are similar to their previous environments in Asia. This demand lends hope to the prospect of further densification and revitalisation of Australian inner city districts.",2018-08-07T19:23:11Z,Journal Article,"Kerstens, Jack| Pojani, Dorina|",10.1080/07293682.2018.1500379,2018-08-08T00:00:00Z,2018-01-01T00:00:00Z,Article (original research),"Melbourne, VIC, Australia",Routledge,Asian students| Australia| Brisbane| Housing preferences| international students| planned behaviour theory| youth migration|,"3305 Geography, Planning and Development| 3322 Urban Studies|"
12,UQ:78b81df,"Perspectives on built heritage preservation: a study of Queenslander homeowners in Brisbane, Australia",Journal Article,"Set in BrisbaneAustralias third citythis study solicits the views of residents regarding the preservation of the iconic Queenslander houses (late nineteenth centuryearly twentieth century). Through in-depth interviews with twenty participants, we sought to determine whether owner-occupiers of Queenslanders value this heritage and why, whether they are engaged in its protection, and if so, what their motivations are. We found that Queenslanders are valued on multiple levels: as placemaking features, as aesthetic pleasure, and as climatic comfort. While maintaining an older home involves a substantial amount of time and moneyavailable mostly to the middle-class and middle-aged groupsthis is viewed as fair considering the benefits of living in a Queenslander. Residents believe that the local government can and should do more to protect what is left of the historical housing stock. However, one portion of the public only cares to preserve the outer shells of heritage homes while extensively renovating and modernising interiors. A concern for heritage is sometimes used as a screen for NIMBYism. As a growing city, Brisbane needs to navigate a fine line between increasing the supply of apartment units and preserving the character of local neighbourhoods, which traditionally have been single-family only.",2020-07-27T06:04:09Z,Journal Article,"Neilsen, Vanessa | Pojani, Dorina |",10.1007/s10901-020-09767-z,2020-07-23T00:00:00Z,2020-07-23T00:00:00Z,Article (original research),"Dordrecht, Netherlands",Springer Netherlands,"Geography, Planning and Development| Urban Studies|","3305 Geography, Planning and Development| 3322 Urban Studies|"
13,UQ:355182,"Defence, identity, and urban form: the extreme case of Gjirokastra",Journal Article,"Gjirokastra, a century-old small city in southern Albania (now a UNESCO World Heritage site), provides an outstanding example of a Classical and Late Ottoman urban centre. At the same time, it is a special example of urban and architectural design based on self-defence by individual family units. Through an excursion of Gjirokastra's residential neighbourhoods, this article discusses how defence concerns guided its urban morphology and building typology until the collapse of the Ottoman Empire. The idea of war, feuds, and fear has pervaded the residents' self-identity for centuries. The military character of their houses owes much to the local warrior mentality that prevailed in times of war and peace.",2015-03-30T15:29:09Z,Journal Article,"Mezinia, Ledita| Pojani, Dorina|",10.1080/02665433.2014.943267,2014-09-09T00:00:00Z,2015-07-03T00:00:00Z,Article (original research),"Abingdon, Oxon, United Kingdom",Routledge,Albania| defence and house form| Gjirokastra| identity and built environment| kule houses| Ottoman Empire|,"3305 Geography, Planning and Development|"
14,UQ:388394,Indicator-based evaluation of sustainable transport plans: A framework for Paris and other large cities,Journal Article,"Using the City of Paris as a case study, this article makes a case for employing clear indicators to evaluate the effectiveness of sustainable urban transport plans. The article assesses the extent to which transport sustainability targets have been achieved, and whether the existing evaluations have been adequate. In addition to exploring the case study, the article addresses a meta-question: Which set of indicators is the most appropriate to evaluate transport sustainability achievements in a large and complex city like Paris? The flexible analytical framework constructed here can serve as an evaluation template for other, similar places.",2016-06-07T14:35:25Z,Journal Article,"Cline Chakhtoura| Pojani, Dorina|",10.1016/j.tranpol.2016.05.014,2016-06-07T00:00:00Z,2016-08-01T00:00:00Z,Article (original research),"Kidlington, Oxford, United Kingdom",Pergamon Press,"Paris, France| Sustainable urban transport| IndIcator-based evaluation| Plan evaluation|","3305 Geography, Planning and Development| 3313 Transportation| 3308 Law|"
15,UQ:a774ea3,Planning students conceptions of research,Journal Article,"This study examines the conceptualizations of planning research by more than two hundred Masters students enrolled in planning schools located throughout four continents. The study is set in the context of theories on the two main traditions of planning thought: planning as a social science and planning as design. The findings reveal that planning students typically have one of four conceptions of planning research: (1) research as trading of ideas, (2) research as gathering of evidence, (3) research as precursor to design, and (4) research as rhetoric. While the planning schools included in this study have diverse orientations (along the designsocial science continuum), our findings suggest that planning students most often conceptualize this discipline as a social science. The orientation of a planning students current school or department appears to be more important in determining a students conception research than his or her undergraduate study major. While planning curricula are becoming more homogenized around the world, some national traditions persist which then affect how students regard planning research.",2019-11-20T10:50:44Z,Journal Article,"Pojani, Dorina| Kimpton, Anthony| Rocco, Roberto|",10.1177/0739456X19884107,2019-11-20T00:00:00Z,2019-11-13T00:00:00Z,Article (original research),"Thousand Oaks, CA, United States",Sage Publications,"Geography, Planning and Development| Development| Urban Studies|","3305 Geography, Planning and Development| 3303 Development| 3322 Urban Studies|"
16,UQ:ab59760,Edutainment: Role-playing versus serious gaming in planning education,Journal Article,"This exploratory study assesses the utility, in terms of learning and conceptualizing planning, of a role-playing exercise (the Great Planning Game [GPG]) and a serious game (Polis PowerPlays [PPP]) employed in a planning theory course offered at The University of Queensland in Australia. The study reveals that role-playing and serious gaming are equally engaging and help planning students learn and embody different roles while having fun. No great differences can be discerned in terms of learning effectiveness. With regard to teaching style, the GPG is more passive and tends to encourage collaboration, whereas the PPP is more dynamic and fosters competition. Both activities help students discover aspects of planningand planning stakeholderswhich they may not have considered before. Most participating students appear to regard planning as a pluralist pursuit. Communication and public participation are viewed as central to planning processes. However, traces of incrementalism and rationality are also present. While students believe in equity planning (i.e., advocacy from within the system), radical social justice approaches that challenge the status quo are notably absent. Overall, the authors conclude that these activities cannot fully replace guided and structured instruction but, as whole task practices, are a desirable complement to direct instruction.",2020-02-05T05:16:06Z,Journal Article,"Pojani, Dorina| Rocco, Roberto|",10.1177/0739456x20902251,2020-02-02T00:00:00Z,2020-01-01T00:00:00Z,Article (original research),"Thousand Oaks, CA, United States",Sage Publications,"Geography, Planning and Development| Development| Urban Studies|","3305 Geography, Planning and Development| 3303 Development| 3322 Urban Studies|"
17,UQ:1826ffb,Lest we forget: media predictions of a post-Covid-19 urban future,Journal Article,"This article recounts a study of media predictions on the future of cities, post-pandemic. From a theoretical perspective, we consider discourse and storytelling (written, oral, or visual) as crucial public policy and planning tools. The study is based on a qualitative analysis of more than 110 media articles from more than 60 sources, which appeared online and/or in print between March and May 2020. We find that the media has played the role of both Kassandra and Pollyanna. Some prophecies have spelled doom and gloom whereas others have envisioned a brighter urban future. The value of the study is in establishing a baseline of urban prophecies formulated by the media. These can be revisited in the future to find out whether they were realistic.",2021-06-24T09:15:38Z,Journal Article,"Pojani, Dorina| Alidoust, Sara|",10.1080/17549175.2021.1944283,2021-06-23T00:00:00Z,,Article (original research),"Abingdon, Oxon, United Kingdom",Routledge,"Geography, Planning and Development| Urban Studies|","3305 Geography, Planning and Development| 3322 Urban Studies|"
18,UQ:8187450,Emerging narratives of parking supply and demand in contemporary cities,Journal Article,"Public views and perceptions surrounding parking demand and supply in Australian cities remain underexplored in the academic literature. In this exploratory study, we draw on written and oral qualitative data to set forth popular narratives and sentiments on parking supply and demand. We reveal two competing storylines. The first and more traditional one casts (free) parking as a birthright that is to be retained at all cost. The second and more recent storyline which aligns closely to the position of contemporary planners casts cars and parking as a scourge to be combated in order to restore urban liveability. We conclude that the emergence of this more recent storyline bodes well for the sustainability of urban areas.",2020-05-07T08:29:15Z,Journal Article,"Pojani, Dorina| Sipe, Neil|",10.1080/17549175.2020.1762112,2020-05-07T00:00:00Z,2020-01-01T00:00:00Z,Article (original research),"Abingdon, Oxon, United Kingdom",Routledge,"Geography, Planning and Development| Urban Studies|","3305 Geography, Planning and Development| 3322 Urban Studies|"
19,UQ:271336,Trends in malaria research in 11 Asian Pacific countries: an analysis of peer-reviewed publications over two decades,Journal Article,"Background: Quantitative data are lacking on published malaria research. The purpose of the study is to characterize trends in malaria-related literature from 1990 to 2009 in 11 Asian-Pacific countries that are committed to malaria elimination as a national goal. Methods. A systematic search was conducted for articles published from January 1990 to December 2009 in PubMed/MEDLINE using terms for malaria and 11 target countries (Bhutan, China, North Korea, Indonesia, Malaysia, Philippines, Solomon Islands, South Korea, Sri Lanka, Thailand and Vanuatu). The references were collated and categorized according to subject, Plasmodium species, and whether they contained original or derivative data. Results: 2,700 articles published between 1990 and 2009 related to malaria in the target countries. The annual output of malaria-related papers increased linearly whereas the overall biomedical output from these countries grew exponentially. The percentage of malaria-related publications was nearly 3% (111/3741) of all biomedical publications in 1992 and decreased to less than 1% (118/12171; p < 0.001) in 2009. Thailand had the highest absolute output of malaria-related papers (n = 1211), followed by China (n = 609) and Indonesia (n = 346). Solomon Islands and Vanuatu had lower absolute numbers of publications, but both countries had the highest number of publications per capita (1.3 and 2.5 papers/1,000 population). The largest percentage of papers concerned the epidemiology and control of malaria (53%) followed by studies of drugs and drug resistance (47%). There was an increase in the proportion of articles relating to epidemiology, entomology, biology, molecular biology, pathophysiology and diagnostics from the first to the second decade, whereas the percentage of papers on drugs, clinical aspects of malaria, immunology, and social sciences decreased. Conclusions: The proportion of malaria-related publications out of the overall biomedical output from the 11 target Asian-Pacific countries is decreasing. The discovery and evaluation of new, safe and effective drugs and vaccines is paramount. In addition the elimination of malaria will require operational research to implement and scale up interventions.",2012-03-23T11:13:03Z,Journal Article,"Andersen, Finn| Douglas, Nick M.| Bustos, Dorina| Galappaththy, Gawarie| Qi, Gao| Hsiang, Michelle S.| Kusriastuti, Rita| Mendis, Kamini| Taleo, George| Whittaker, Maxine| Price, Ric N.| von Seidlein, Lorenz|",10.1186/1475-2875-10-131,2011-05-01T00:00:00Z,,Article (original research),"London, England, U.K.",BioMed Central,Plasmodium-falciparum Transmission| Artemisinin Resistance|,2405 Parasitology| 2725 Infectious Diseases|
20,UQ:381147,"From squatter settlement to suburb: the transformation of Bathore, Albania",Journal Article,"This paper recounts the successful upgrading of Bathore, an informal settlement on government land, located in the outskirts of Tirana, the capital of Albania. Bathore was formed in the early 1990s by poor squatters, mostly from rural northern Albania, a region that became impoverished and lost most services after the fall of communism in 1990. The area that the squatters occupied lacked all infrastructure. However, the squatters built houses that were permanent structures of good quality, often multi-storey. These houses were mostly financed through the remittances of immigrants abroad. In mid-2000s, the Albanian government started taking steps to legalize squatter housing, and, subsequently, to equip the area with infrastructure. Now, Bathore is starting to resemble a middle-class-style suburb, if only in terms of physical appearance. This paper explores the roles of the central and local governments, the international financial institutions, a local NGO, and the local community in this achievement.",2016-03-01T14:55:14Z,Journal Article,"Pojani, Dorina|",10.1080/02673037.2013.760031,2013-01-01T00:00:00Z,2013-09-01T00:00:00Z,Article (original research),"Abingdon, Oxon, United Kingdom",Routledge,Albania| Informal settlements| Legalization| Migration| Urbanization|,2301 Environmental Science (miscellaneous)| 3312 Sociology and Political Science| 3322 Urban Studies|
21,UQ:2186fa2,River-based public transport: why won't Paris jump on board?,Journal Article,"Given the magnitude of transport-problems in many large cities, the potential of rivers to serve as transport arteries is being recognized once again. However, some world cities, such as Paris, have failed to maximize their river potential. The Seine remains underutilized by mass commuter ferries serving the local population. Why, in the modern era, has Paris not taken advantage of its river for commuter transport? Will it do so in the future? This article answers these questions, which are important at the present time of grave sustainability concerns. The identified barriers include: (a) funding constraints; (b) competition by other modes; (c) lack of political and institutional will; (d) lack of opportunity; (e) local legislation; and (f) technical issues. The first three are common worldwide while the last three are specific to Paris.",2018-05-24T17:58:52Z,Journal Article,"Bignon, Elise| Pojani, Dorina|",10.1016/j.cstp.2018.05.002,2018-06-01T00:00:00Z,2018-01-01T00:00:00Z,Article (original research),"Amsterdam, Netherlands",Elsevier,"Geography, Planning and Development| Urban Studies| Transportation|","3305 Geography, Planning and Development| 3313 Transportation| 3322 Urban Studies|"
22,UQ:7aa7886,Living car-free by choice in a sprawling city: Desirable and possible?,Journal Article,"This exploratory study examines the motivations of people who live car-free by choice in Brisbane, Australia. The Theory of Planned Behaviour is employed as a guiding framework for the analysis. Unlike the car-less, the car-free are physically and intellectually able to drive, and have sufficient income to purchase and maintain a car, yet they have chosen on shun automobility. In a low-density, sprawling, and car-oriented context like Brisbanes, their choice is unusual, hence worth examining. Through in-depth interviews of 24 car-free people, we found that they have embraced car-free living in order to go green; pursue health and well-being; and achieve convenience and minimalism. Personal advantages have priority over collective interests. Participants share a belief that car ownership is simply unnecessary if one makes certain practical adjustments. A characteristic element that unites the car-free is their maverick outlook. All have been willing to defy a key societal norm, automobility, even as this involves some downsides. They believe that the advantages of a car-free life outweigh any drawbacks. It appears that a car-free lifestyle is an educated middle-class phenomenon. However, a larger survey may reveal specific demographic clusters among the car-free.",2021-04-18T00:34:35Z,Journal Article,"Paijmans, Hayley| Pojani, Dorina|",10.1016/j.cstp.2021.04.001,2021-04-18T00:00:00Z,2021-06-01T00:00:00Z,Article (original research),"Amsterdam, Netherlands",Elsevier,"Geography, Planning and Development| Urban Studies| Transportation|","3305 Geography, Planning and Development| 3313 Transportation| 3322 Urban Studies|"
23,UQ:401788,Learning by doing: employer expectations of planning studio education,Journal Article,"Planning education is often criticised for being too theoretical and subsequently producing graduates who lack the requisite technical skills for the job marketwho, in other words, are not work ready. It is assumed that employers will prefer graduates with technical and procedural know-how. This article reports on an employer workshop to evaluate the urban planning studio courses at the University of Queensland in Australia. The results were surprising. The attending employers agreed that procedural planning skills can be learned on the job while the university environment is an opportunity to develop critical and spatial thinking.",2016-08-23T06:37:58Z,Journal Article,"Pojani, Dorina| Johnson, Laurel| Darchen, Sebastien| Yang, Katie|",10.1080/08111146.2016.1221814,2016-08-22T00:00:00Z,2018-01-01T00:00:00Z,Article (original research),"Melbourne, VIC, Australia",Routledge,Planning education| Experiential learning| Planning studio education| Planning graduates| Planning employer perspectives|,"3305 Geography, Planning and Development| 3322 Urban Studies|"
24,UQ:381139,From carfree to carfull: the environmental and health impacts of increasing private motorisation in Albania,Journal Article,"This paper reviews the environmental and health impacts of private motorization in Albania since the fall of communism and the failures of the public sector to effectively control these impacts. The paper focuses on the capital, Tirana, which has almost one-third of the national population, most of the national wealth, twice the rate of car ownership in the rest of the country, and the bulk of the adverse impacts related to motorisation.",2016-03-01T14:04:58Z,Journal Article,"Pojani, Dorina|",10.1080/09640568.2010.506076,2011-01-01T00:00:00Z,,Article (original research),"Abingdon, Oxon, United Kingdom",Routledge,Air pollution| Albania| Car accidents| Eastern Europe| Energy consumption| Noise pollution| Private motorisation| Tirana|,"3305 Geography, Planning and Development| 2312 Water Science and Technology| 2300 Environmental Science| 1507 Fluid Flow and Transfer Processes| 2308 Management, Monitoring, Policy and Law|"
25,UQ:381146,Urban and suburban retail development in Albania's capital after socialism,Journal Article,This article discusses trends in the distribution of retail development in Tirana (the capital of Albania) and its surrounding areas. The story of these trends in Tirana exhibits unique characteristics connected to the city's exceptional population growth and exceptional densification since the end of the communist era in 1990. Tirana provides an example of how a center city can continue to dominate retail commerce when there are very limited restraints on residential and commercial density in the inner city and very limited foreign investment in retail development.,2016-03-01T14:52:43Z,Journal Article,"Pojani, Dorina|",10.1016/j.landusepol.2011.02.001,2011-01-01T00:00:00Z,,Article (original research),"Kidlington, Oxford, United Kingdom",Pergamon Press,Albania| Center city densification| Commercial sprawl| Post-communist retail development| Shopping malls| Tirana|,"1107 Forestry| 3305 Geography, Planning and Development| 2309 Nature and Landscape Conservation| 2308 Management, Monitoring, Policy and Law|"
